"SITE_ID","TN_Median","TP_Median"
"NWCA11-1005",1.498,123
"NWCA11-1011",0.663,96
"NWCA11-1015",0.918,204
"NWCA11-1017",2.806,208
"NWCA11-1021",0.871,205
"NWCA11-1035",1.75,117
"NWCA11-1043",2.67,1850
"NWCA11-1046",0.734,66.7
"NWCA11-1050",0.992,57.6
"NWCA11-1051",1.19,59.5
"NWCA11-1053",0.881,152
"NWCA11-1054",1.21,355
"NWCA11-1061",1.15,538
"NWCA11-1063",2.38,335
"NWCA11-1065",0.978,103
"NWCA11-1074",0.57,189
"NWCA11-1078",3.96,386
"NWCA11-1082",0.532,38.6
"NWCA11-1086",1.96,359
"NWCA11-1092",1.3475,438.5
"NWCA11-1095",0.803,218.5
"NWCA11-1105",0.585,289.5
"NWCA11-1114",2.068,84
"NWCA11-1123",3.388,381
"NWCA11-1127",0.686,244
"NWCA11-1133",0.82,233
"NWCA11-1136",9.313,952
"NWCA11-1147",4.844,993
"NWCA11-1162",0.258,69
"NWCA11-1163",0.086,45
"NWCA11-1168",1.122,485
"NWCA11-1174",0.188,18
"NWCA11-1179",0.2875,19.5
"NWCA11-1180",1.2075,239
"NWCA11-1181",0.373,44
"NWCA11-1183",0.353,20
"NWCA11-1184",0.993,140
"NWCA11-1186",0.273,14
"NWCA11-1187",0.433,94
"NWCA11-1188",1.698,289
"NWCA11-1189",1.173,41
"NWCA11-1190",0.973,23
"NWCA11-1193",0.34,46
"NWCA11-1197",2.152,568.5
"NWCA11-1198",1.4315,271
"NWCA11-1200",14.6,2481
"NWCA11-1203",0.611,113
"NWCA11-1207",2.194,284
"NWCA11-1210",1.588,118
"NWCA11-1213",1.605,267
"NWCA11-1218",1.118,50
"NWCA11-1222",1.131,247
"NWCA11-1223",0.478,55
"NWCA11-1225",1.568,127
"NWCA11-1226",1.093,226
"NWCA11-1233",0.499,0
"NWCA11-1239",0.673,33
"NWCA11-1243",1.75,24
"NWCA11-1245",0.995,13
"NWCA11-1248",0.505,85
"NWCA11-1249",3.331,57
"NWCA11-1256",0.319,60
"NWCA11-1258",1.173,700
"NWCA11-1260",0.627,38
"NWCA11-1267",0.588,9
"NWCA11-1278",0.609,72
"NWCA11-1286",2.719,102
"NWCA11-1292",0.581,104
"NWCA11-1299",1.223,29
"NWCA11-1308",0.898,70
"NWCA11-1311",4.095,219
"NWCA11-1314",0.151,105
"NWCA11-1324",0.663,11
"NWCA11-1325",2.265,62
"NWCA11-1326",0.57,98
"NWCA11-1329",0.673,7
"NWCA11-1337",0.618,7
"NWCA11-1342",0.456,75
"NWCA11-1348",0.801,28
"NWCA11-1356",1.278,22
"NWCA11-1359",0.57,34
"NWCA11-1363",1.71,156
"NWCA11-1364",0.461,50
"NWCA11-1369",0.5365,76.5
"NWCA11-1370",0.625,136
"NWCA11-1372",0.763,115
"NWCA11-1379",1.223,259
"NWCA11-1381",0.854,237
"NWCA11-1382",1.159,152
"NWCA11-1383",4.683,347
"NWCA11-1385",0.678,105
"NWCA11-1393",0.559,69
"NWCA11-1395",0.875,233
"NWCA11-1396",0.616,180
"NWCA11-1397",0.44,65
"NWCA11-1400",0.6,146
"NWCA11-1401",0.914,175
"NWCA11-1404",1.335,381
"NWCA11-1408",0.568,318
"NWCA11-1409",1.815,328
"NWCA11-1411",0.751,209
"NWCA11-1412",0.369,98
"NWCA11-1414",1.1,112
"NWCA11-1417",1.793,585
"NWCA11-1418",1.043,261
"NWCA11-1465",3.975,1161.5
"NWCA11-1473",1.353,709
"NWCA11-1477",4.763,2195
"NWCA11-1478",1.903,77
"NWCA11-1481",1.033,313
"NWCA11-1489",0.058,31
"NWCA11-1504",0.295,27
"NWCA11-1514",0.078,18
"NWCA11-1532",2.319,311
"NWCA11-1552",4.906,1160
"NWCA11-1555",2.395,360
"NWCA11-1581",0.3,35
"NWCA11-1582",1.1365,211
"NWCA11-1583",0.955,171
"NWCA11-1587",1.498,625
"NWCA11-1591",1.42,245
"NWCA11-1602",2.643,711
"NWCA11-1611",1.625,1630
"NWCA11-1613",1.031,136
"NWCA11-1614",1.193,131
"NWCA11-1617",2.38,826
"NWCA11-1618",1.295,154
"NWCA11-1626",0.958,129
"NWCA11-1629",2.184,210
"NWCA11-1630",0.948,113
"NWCA11-1631",1.916,420
"NWCA11-1632",2.781,1128
"NWCA11-1633",0.933,120
"NWCA11-1634",1.808,143
"NWCA11-1636",1.006,71
"NWCA11-1637",0.825,107
"NWCA11-1638",0.629,92
"NWCA11-1642",0.726,131
"NWCA11-1643",1.28,420
"NWCA11-1645",2.179,233
"NWCA11-1646",1.173,145
"NWCA11-1649",1.12,141
"NWCA11-1653",1.121,64
"NWCA11-1654",5.425,588
"NWCA11-1658",0.84,174
"NWCA11-1659",2.975,352
"NWCA11-1661",1.011,349
"NWCA11-1662",19.913,3140
"NWCA11-1665",0.808,113
"NWCA11-1667",1.788,142
"NWCA11-1668",0.95,131
"NWCA11-1669",0.645,76
"NWCA11-1673",0.908,132
"NWCA11-1675",1.56,258
"NWCA11-1677",0.71,90
"NWCA11-1678",2.256,243
"NWCA11-1680",1.345,164
"NWCA11-1683",3.043,567
"NWCA11-1685",0.858,23
"NWCA11-1690",1.009,178
"NWCA11-1694",1.698,81
"NWCA11-1696",3.268,2283
"NWCA11-1697",1.078,168
"NWCA11-1703",1.55,243
"NWCA11-1705",1.955,358
"NWCA11-1707",0.863,104
"NWCA11-1709",1.833,398
"NWCA11-1743",0.9415,84
"NWCA11-1744",0.7605,101.5
"NWCA11-1745",2.32,233
"NWCA11-1746",0.59,61
"NWCA11-1747",1.37,169
"NWCA11-1749",1.163,88
"NWCA11-1750",1.968,535
"NWCA11-1751",1.308,121
"NWCA11-1752",0.79,72
"NWCA11-1753",0.434,33
"NWCA11-1754",1.258,61
"NWCA11-1773",0.924,50
"NWCA11-1778",0.868,46
"NWCA11-1779",3.181,151
"NWCA11-1788",0.863,22
"NWCA11-1789",1.948,29
"NWCA11-1790",1.09,58
"NWCA11-1792",1.183,33
"NWCA11-1793",1.956,81
"NWCA11-1798",1.145,183
"NWCA11-1805",3.275,192
"NWCA11-1813",3.238,117
"NWCA11-1816",3.806,403
"NWCA11-1821",0.745,18.5
"NWCA11-1823",0.258,44
"NWCA11-1824",0.98,66
"NWCA11-1825",0.868,39
"NWCA11-1827",0.118,25
"NWCA11-1829",0.399,11
"NWCA11-1830",0.735,31
"NWCA11-1832",0.634,47
"NWCA11-1833",0.388,57
"NWCA11-1836",2.6,188
"NWCA11-1837",1.025,77
"NWCA11-1854",6.144,1351
"NWCA11-1855",0.888,136
"NWCA11-1860",3.53,227
"NWCA11-1865",0.265,32
"NWCA11-1867",35.9,3325
"NWCA11-1935",1.215,1292
"NWCA11-1942",0.335,108
"NWCA11-1946",0.755,60
"NWCA11-1953",0.595,49
"NWCA11-1957",0.661,63
"NWCA11-1958",1.505,126
"NWCA11-1959",1.485,829
"NWCA11-1965",0.591,25
"NWCA11-1969",0.366,33
"NWCA11-1970",0.534,27
"NWCA11-1977",0.692,75
"NWCA11-1993",0.871,103
"NWCA11-2011",1.548,91.5
"NWCA11-2012",0.295,17
"NWCA11-2016",0.07,8
"NWCA11-2020",3.223,186
"NWCA11-2022",0.125,40
"NWCA11-2027",1.388,73
"NWCA11-2028",1.075,37
"NWCA11-2030",0.753,132
"NWCA11-2032",5.888,231
"NWCA11-2033",3.919,332
"NWCA11-2036",1.048,63
"NWCA11-2038",0.506,19
"NWCA11-2039",1.75,40
"NWCA11-2042",2.455,143
"NWCA11-2045",1.22,22
"NWCA11-2048",1.238,41
"NWCA11-2049",0.851,16
"NWCA11-2051",1.11,56
"NWCA11-2052",3.738,85
"NWCA11-2055",0.859,46
"NWCA11-2065",1.598,60
"NWCA11-2066",0.39,36
"NWCA11-2070",1.033,36
"NWCA11-2071",2.138,446
"NWCA11-2073",3.29,423
"NWCA11-2074",0.769,68
"NWCA11-2075",3.045,428
"NWCA11-2076",1.353,123
"NWCA11-2080",1.11,77
"NWCA11-2081",1.69,196
"NWCA11-2139",1.793,1203
"NWCA11-2140",2.2425,944
"NWCA11-2142",3.253,233
"NWCA11-2146",2.898,479
"NWCA11-2148",1.229,178
"NWCA11-2151",0.968,371
"NWCA11-2153",8.256,4638
"NWCA11-2154",1.465,227
"NWCA11-2159",1.385,1782
"NWCA11-2167",0.228,18
"NWCA11-2170",0.618,75
"NWCA11-2172",0.165,19
"NWCA11-2175",0.745,88
"NWCA11-2176",0.19,6
"NWCA11-2177",0.993,98
"NWCA11-2178",0.26,17
"NWCA11-2181",5.5,1381
"NWCA11-2186",2.375,267
"NWCA11-2195",0.72,147
"NWCA11-2196",0.998,117
"NWCA11-2197",3.219,903
"NWCA11-2198",1.419,61
"NWCA11-2199",0.617,89
"NWCA11-2204",0.985,97
"NWCA11-2205",2.15,208
"NWCA11-2207",0.525,140
"NWCA11-2215",0.435,86
"NWCA11-2220",0.988,117
"NWCA11-2222",2.663,459
"NWCA11-2225",0.765,29.5
"NWCA11-2229",2.578,184
"NWCA11-2243",0.1065,63.5
"NWCA11-2246",0.273,44
"NWCA11-2262",0.403,46
"NWCA11-2265",1.038,146.5
"NWCA11-2267",1.215,61
"NWCA11-2269",1.899,113
"NWCA11-2273",0.815,121
"NWCA11-2275",0.485,17
"NWCA11-2277",3.213,134
"NWCA11-2279",0.43,55
"NWCA11-2281",0.585,83
"NWCA11-2321",1.31,129
"NWCA11-2339",3.533,467
"NWCA11-2342",0.155,51
"NWCA11-2343",0.385,103
"NWCA11-2350",0.275,41
"NWCA11-2355",0.5405,88
"NWCA11-2358",1.698,582
"NWCA11-2359",0.42,209
"NWCA11-2367",0.31,38
"NWCA11-2369",0.85,87
"NWCA11-2371",0.118,9
"NWCA11-2376",1.708,332
"NWCA11-2381",0.7965,96.5
"NWCA11-2382",1.5705,283.5
"NWCA11-2384",0.6,25
"NWCA11-2388",0.495,33
"NWCA11-2389",0.498,37
"NWCA11-2390",2.706,243
"NWCA11-2392",0.843,43
"NWCA11-2393",0.538,39
"NWCA11-2401",1.571,158
"NWCA11-2402",1.929,454.5
"NWCA11-2404",1.026,850
"NWCA11-2411",0.621,111
"NWCA11-2418",0.448,118
"NWCA11-2432",1.468,232
"NWCA11-2433",1.951,35
"NWCA11-2436",0.804,138
"NWCA11-2437",0.5,35
"NWCA11-2454",0.774,176
"NWCA11-2458",0.84,180
"NWCA11-2481",2.0765,534
"NWCA11-2488",70.05,11510
"NWCA11-2495",2.4105,715
"NWCA11-2500",2.07,336
"NWCA11-2502",1.935,1029
"NWCA11-2514",2.223,625
"NWCA11-2515",1.88,589
"NWCA11-2518",2.243,255
"NWCA11-2526",5.875,912
"NWCA11-2529",1.143,215.5
"NWCA11-2538",23.075,2033
"NWCA11-2540",4.719,411
"NWCA11-2541",1.706,856
"NWCA11-2564",1.169,167
"NWCA11-2566",12.7,1087
"NWCA11-2573",2.975,1340
"NWCA11-2575",2.95,175
"NWCA11-2589",1.748,328
"NWCA11-2593",1.73,423
"NWCA11-2598",0.955,187
"NWCA11-2599",0.969,55
"NWCA11-2603",0.798,102
"NWCA11-2612",0.3565,138.5
"NWCA11-2619",0.2505,20
"NWCA11-2620",0.265,105
"NWCA11-2623",1.175,117
"NWCA11-2628",1.055,151
"NWCA11-2632",4.0555,74
"NWCA11-2633",0.4785,136.5
"NWCA11-2634",1.363,152
"NWCA11-2637",2.769,328
"NWCA11-2639",1.286,47
"NWCA11-2647",0.825,307
"NWCA11-2651",0.94,125
"NWCA11-2652",0.405,95
"NWCA11-2655",3.188,539
"NWCA11-2656",1.475,93
"NWCA11-2660",0.781,33
"NWCA11-2667",0.403,27
"NWCA11-2670",1.625,71
"NWCA11-2674",0.94,123
"NWCA11-2686",0.5625,31
"NWCA11-2687",0.789,512.5
"NWCA11-2688",0.458,44
"NWCA11-2693",0.988,62
"NWCA11-2694",0.603,54
"NWCA11-2698",0.318,37
"NWCA11-2704",0.391,56
"NWCA11-2706",2.7575,560.5
"NWCA11-2710",0.098,20
"NWCA11-2718",4.508,1212
"NWCA11-2732",NA,271
"NWCA11-2737",NA,1850
"NWCA11-2743",1.895,178
"NWCA11-2745",NA,79
"NWCA11-2746",NA,493
"NWCA11-2748",NA,NA
"NWCA11-2764",0.978,53.5
"NWCA11-2765",0.214,28
"NWCA11-2777",0.254,10
"NWCA11-2780",0.239,14
"NWCA11-2785",0.163,28
"NWCA11-2790",0.05,12
"NWCA11-2795",0.438,147
"NWCA11-2799",0.285,51
"NWCA11-2800",0.148,17
"NWCA11-2847",0.309,110
"NWCA11-2890",1.76,962
"NWCA11-2897",0.865,223
"NWCA11-2900",1.63,316
"NWCA11-2917",NA,41.3
"NWCA11-2918",0.663,176
"NWCA11-2921",1.828,7
"NWCA11-2922",NA,254
"NWCA11-2940",0.68,239
"NWCA11-2941",3.498,378
"NWCA11-2947",0.861,89
"NWCA11-2949",0.928,248
"NWCA11-2957",0.764,72
"NWCA11-2959",0.133,9
"NWCA11-2961",14.3,5756
"NWCA11-2974",0.138,7
"NWCA11-3042",1.373,19
"NWCA11-3051",0.328,39
"NWCA11-3062",0.763,44
"NWCA11-3063",1.71,205
"NWCA11-3270",0.91,316
"NWCA11-3275",5.481,950
"NWCA11-3278",1.373,74
"NWCA11-3284",0.903,234
"NWCA11-3297",0.223,29
"NWCA11-3300",1.908,340
"NWCA11-3303",0.213,51
"NWCA11-3309",0.323,38
"NWCA11-3312",0.693,336
"NWCA11-3316",2.243,517
"NWCA11-3383",2.195,728
"NWCA11-3388",1.33,231
"NWCA11-3568",3.856,121
"NWCA11-3580",1.084,27
"NWCA11-3583",4.038,136
"NWCA11-3586",1.123,71
"NWCA11-3803",0.421,94
"NWCA11-3816",0.373,91
"NWCA11-3818",1.321,458
"NWCA11-3821",1.8,268
"NWCA11-3986",1.255,33
"NWCA11-3988",0.54,56
"NWCA11-3989",0.723,167
"NWCA11-4138",0.209,42
"NWCA11-4141",0.428,42
"NWCA11-4145",0.708,45
"NWCA11-4147",0.543,114
"NWCA11-4294",5.131,1272
"NWCA11-4298",1.899,456
"NWCA11-4411",2.328,576
"NWCA11-4414",3.988,1683
"NWCA11-4419",0.165,24
"NWCA11-4486",0.373,43
"NWCA11-4495",0.228,22
"NWCA11-4499",0.416,78
"NWCA11-4505",0.22,157
"NWCA11-4522",0.165,66
"NWCA11-4577",0.288,19
"NWCA11-4579",0.508,56
"NWCA11-4581",0.403,50
"NWCA11-4692",1.1,247
"NWCA11-4699",0.683,173
"NWCA11-4703",1.605,400
"NWCA11-4706",0.796,324
"NWCA11-4708",1.674,1078
"NWCA11-4709",NA,31.3
"NWCA11-4713",NA,341
"NWCA11-4716",NA,1555
"NWCA11-4718",NA,281
"NWCA11-4721",0.725,103
"NWCA11-4729",NA,265
"NWCA11-5086",1.913,285
"NWCA11-5610",0.19,113
"NWCA11-5614",0.3,155
"NWCA11-5615",0.148,16
"NWCA11-5616",1.67,114
"NWCA11-6086",4.188,2220
"NWCA11-6092",2.423,1027
"NWCA11-6101",3.581,2222
"NWCA11-6301",0.389,68
"NWCA11-6302",0.385,52
"NWCA11-6308",4.085,1513
"NWCA11-6315",0.61,3612
"NWCA11-6368",0.618,81
"NWCA11-ID-0012",1.64,1065
"NWCA11-ID-0018",1.033,179
"NWCA11-ID-0045",0.168,91
"NWCA11-ID-0059",0.505,143
"NWCA11-ID-0062",0.41,25
"NWCA11-ID-0066",0.393,147
"NWCA11-ID-0069",0.098,88
"NWCA11-ID-0084",0.7,34
"NWCA11-MN-0002",3.13,1272
"NWCA11-MN-0003",0.535,21
"NWCA11-MN-0007",1.33,106
"NWCA11-MN-0011",3.693,1099
"NWCA11-MN-0019",16.45,1863
"NWCA11-MN-0025",0.888,344
"NWCA11-MN-0027",1.185,57
"NWCA11-MN-0029",2.293,1256
"NWCA11-MN-0032",6.988,1988
"NWCA11-ND-5001",1.8265,744
"NWCA11-ND-5003",2.7615,585
"NWCA11-ND-5006",2.015,348
"NWCA11-ND-5008",2.258,2260
"NWCA11-ND-5010",1.366,393
"NWCA11-ND-5011",2.173,569
"NWCA11-ND-5012",2,50
"NWCA11-ND-5013",2.64,328
"NWCA11-ND-5015",3.355,2665
"NWCA11-ND-5016",0.923,153
"NWCA11-ND-5017",5.42,4420
"NWCA11-ND-5018",1.53,402
"NWCA11-ND-5019",1.81,37
"NWCA11-ND-5021",2.48,120
"NWCA11-ND-5023",2.16,200
"NWCA11-ND-5030",3.5,261
"NWCA11-ND-5032",1.9,46
"NWCA11-ND-5034",2.16,1520
"NWCA11-ND-5037",1.97,606
"NWCA11-ND-5040",1.9,124
"NWCA11-ND-5042",2.35,140
"NWCA11-ND-5043",1.42,373
"NWCA11-ND-5046",2.68,834
"NWCA11-ND-5048",1.57,365
"NWCA11-ND-5049",1.53,34
"NWCA11-ND-5052",2.26,129
"NWCA11-ND-5055",2.2,43
"NWCA11-ND-5056",3.75,2350
"NWCA11-ND-5059",2.26,272
"NWCA11-ND-5062",1.9,567
"NWCA11-ND-5065",1.25,18
"NWCA11-ND-5066",2.77,3780
"NWCA11-ND-5067",0.309,685
"NWCA11-ND-5069",1.04,47
"NWCA11-ND-5072",1.24,145
"NWCA11-ND-5073",1.36,266
"NWCA11-ND-5075",2.73,206
"NWCA11-ND-5078",2.07,320
"NWCA11-ND-5079",3.44,424
"NWCA11-ND-5082",0.883,163
"NWCA11-ND-5083",2.47,340
"NWCA11-ND-5084",1.78,94
"NWCA11-ND-5085",2.64,242
"NWCA11-ND-5089",2.65,421
"NWCA11-ND-5091",5.28,1710
"NWCA11-ND-5093",2.17,61
"NWCA11-ND-5094",1.45,671
"NWCA11-ND-5095",2.16,85
"NWCA11-OH-3003",0.8095,59
"NWCA11-OH-3004",2.93,192
"NWCA11-OH-3005",1.849,304.5
"NWCA11-OH-3006",2.785,403
"NWCA11-OH-3014",0.38,42
"NWCA11-OH-3019",1.316,189
"NWCA11-OH-3020",1.519,1448
"NWCA11-OH-3022",0.806,51
"NWCA11-OH-3030",2.89,489
"NWCA11-OH-3031",4.635,1528
"NWCA11-R001",0.95,22
"NWCA11-R003",0.384,13
"NWCA11-R004",0.715,4
"NWCA11-R006",1.139,211
"NWCA11-R007",1.063,339
"NWCA11-R010",0.12,28
"NWCA11-R012",0.83,111
"NWCA11-R013",1.708,262
"NWCA11-R016",0.615,37
"NWCA11-R017",0.505,12
"NWCA11-R019",3.233,568
"NWCA11-R020",1.086,149
"NWCA11-R024",0.619,71
"NWCA11-R025",1.468,81
"NWCA11-R026",1.79,249
"NWCA11-R028",2.47,64
"NWCA11-R031",2.003,604
"NWCA11-R036",1.358,288
"NWCA11-R037",0.155,57
"NWCA11-R041",7.944,1470
"NWCA11-R042",0.929,53
"NWCA11-R043",0.906,54
"NWCA11-R048",0.425,5
"NWCA11-R050",1.199,53
"NWCA11-R051",0.549,40
"NWCA11-R052",3.106,1268
"NWCA11-R054",1.063,65
"NWCA11-R055",8.525,885
"NWCA11-R056",1.258,129
"NWCA11-R058",0.341,41
"NWCA11-R059",30.5,3446
"NWCA11-R060",1.22,109
"NWCA11-R061",19.925,7364
"NWCA11-R062",0.99,141
"NWCA11-R063",0.393,115
"NWCA11-R065",5.938,1314
"NWCA11-R066",2.513,1654
"NWCA11-R070",1.728,194
"NWCA11-R071",1.148,124
"NWCA11-R073",0.363,72
"NWCA11-R074",0.813,18
"NWCA11-R076",1.184,114
"NWCA11-R077",2.744,46
"NWCA11-R080",0.51,97
"NWCA11-R084",0.903,204
"NWCA11-R086",19.675,5485
"NWCA11-R087",2.688,2034
"NWCA11-R092",0.205,36
"NWCA11-R095",1.088,25
"NWCA11-R101",1.515,185
"NWCA11-R103",0.718,31
"NWCA11-R107",0.301,51
"NWCA11-R108",0.94,55
"NWCA11-R110",0.698,22
"NWCA11-R112",0.923,25
"NWCA11-R113",0.76,25
"NWCA11-R114",0.793,59
"NWCA11-R116",1.081,65
"NWCA11-R117",3.978,298
"NWCA11-R121",1.07,165
"NWCA11-R124",0.46,7
"NWCA11-R126",0.888,69
"NWCA11-R127",1.61,222
"NWCA11-R128",0.475,18
"NWCA11-R130",0.873,155
"NWCA11-R133",0.833,14
"NWCA11-R134",1.34,49
"NWCA11-R135",2.055,1218
"NWCA11-R201",0.283,28
"NWCA11-R202",0.408,56
"NWCA11-R203",0.193,11
"NWCA11-R204",0.21,10
"NWCA11-R205",0.485,44
"NWCA11-R206",0.078,39
"NWCA11-R301",0.338,12
"NWCA11-R303",0.793,24
"NWCA11-R304",0.783,49
"NWCA11-R305",0.353,25
"NWCA11-R307",0.338,2
"NWCA11-R308",0.543,26
"NWCA11-R312",0.913,32
"NWCA11-R313",1.09,67
"NWCA11-R314",0.645,3
"NWCA11-R315",0.86,103
"NWCA11-R321",0.41,23
"NWCA11-R322",1.268,55
"NWCA11-WI-1001",NA,16
"NWCA11-WI-1009",NA,271
